restaurant,category,name,description,price_cents,currency,image_url,item_url
Pressed Cafe,Menu,The Atlantic,,1600,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/0d93f84f-ee02-41cf-81a4-07534e4457ff/Atlantic-Salad.png,
Pressed Cafe,Menu,The Bridge,,1400,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/471e0a71-9afa-47cf-ba48-e585c4bb33ba/The-Bridge.png,
Pressed Cafe,Menu,The Caprese,,1200,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/7a628341-8328-49c5-a57b-7098566ea0f9/Caprese-Salad.png,
Pressed Cafe,Menu,The French Burrito,,1400,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/b49e6a29-2c9a-4107-be4e-b99e32d7a8c0/French-Burrito.png,
Pressed Cafe,Menu,The Green Monster,,,,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/8549bdd6-6c23-4541-87e8-b76af2aa7ebf/ncp_-369-of-473-.jpg,
Pressed Cafe,Menu,The Medusa,,1400,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/ed73f916-f8d1-4e0a-902a-c431e6ee9998/Medusa.png,
Pressed Cafe,Menu,The Middle East,,1500,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/8e75c6a8-b063-4029-a51e-177d720f03c1/Middle-East.png,
Pressed Cafe,Menu,The Pressed,,1500,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/f6aa8541-57b8-4f95-a7f8-eed0056a10e1/Pressed.png,
Pressed Cafe,Menu,The Real Deal Melt,,1400,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/d727fe99-432b-4bda-ad50-ed8f690a4249/Real-Deal-Melt.png,
Pressed Cafe,Menu,The Zohan,,1400,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/3eb62bbb-8d56-4ab5-a960-2bfdd586709d/Zohan.png,
Pressed Cafe,Menu,Traditional Acai Bowl,,900,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/3b736b05-03b6-429e-bda1-1fddfdf78fd7/ncp-1-of-91-.jpg,
Pressed Cafe,Menu,Traditional BLT,,1400,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/bf8d8f38-0984-4d7c-8e84-4a6a2c20b0d7/BLT.png,
Pressed Cafe,Menu,Traditional Greek,,1200,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/b1d13bc1-c537-40e9-ba32-5f183e9879a2/Traditional-Greek.png,
Pressed Cafe,Menu,Tropical Island Smoothie,,,,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/7af12f39-e6c2-4f39-bdf2-d45ba4e9b17b/Tropical-Island-Smoothie.png,
Pressed Cafe,Menu,Truffle Parmesan Fries,,1200,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/d3e50993-5782-42d2-b6eb-7c3d6e4c75a3/truffle-fries.avif,
Pressed Cafe,Menu,Turkey Reuben,,1500,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/d6f540d2-6d41-422c-a572-61d4b26ec461/Turkey-Reuben.png,
Pressed Cafe,Menu,Vegan Forager Smash,,1500,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/a39181ca-2593-4733-994b-f89ae112f64b/ncp-61-of-91-.jpg,
Pressed Cafe,Menu,Vegan Middle East,,1500,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/729200a8-754c-4a97-a5f3-e9abeaa43825/ncp-69-of-91-.jpg,
Pressed Cafe,Menu,Vegetarian Magic Mushroom Melt,,1700,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/fc3a182d-09c7-4b55-9999-cf863d504085/ChatGPT-Image-May-4-2026-12_24_22-PM.jpg,
Pressed Cafe,Menu,Warm Roasted Beets and Labneh*,,1200,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/aaee175f-164b-4a54-8f50-dc76b0289477/ncp-39-of-91-.jpg,
Pressed Cafe,Menu,Wipe The Plate*,,1400,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/adf48aaf-c1db-4a2c-b1a0-2c39903df446/Wipe-the-Plate.png,
Pressed Cafe,Menu,Yalla Hummus Bowl*,,1500,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/937ed2ad-b796-4bce-8ec9-fe028b24ee57/Yalla-Hummus.png,
